stonk_name,stonk_link
Agenus,https://www.investing.com/equities/agenus-inc
Nuance Communications,https://www.investing.com/equities/nuance-communications
Endo Int,https://www.investing.com/equities/endo-pharmaceuticals
General Mills,https://www.investing.com/equities/general-mills
American Express,https://www.investing.com/equities/american-express
Western Digital,https://www.investing.com/equities/western-digital
Best Buy,https://www.investing.com/equities/best-buy
SunPower,https://www.investing.com/equities/sunpower-corporation
International Paper,https://www.investing.com/equities/intl-paper-co
MGIC Investment,https://www.investing.com/equities/mgic-inv
Lowe’s,https://www.investing.com/equities/lowes-companies
Amazon.com,https://www.investing.com/equities/amazon-com-inc
VMware,https://www.investing.com/equities/vm-ware-inc
DuPont De Nemours,https://www.investing.com/equities/du-pont
Juniper,https://www.investing.com/equities/juniper-networks-inc
Range Resources,https://www.investing.com/equities/range-resources-corp
Nov,https://www.investing.com/equities/ntl-oilwell-varc
Tapestry,https://www.investing.com/equities/coach
Simon Property,https://www.investing.com/equities/simon-prop-grp
Aflac,https://www.investing.com/equities/aflac-inc
Amgen,https://www.investing.com/equities/amgen-inc
Dominion Energy,https://www.investing.com/equities/dominion-res
Dentsply,https://www.investing.com/equities/dentsply-intl-inc-new
Cognizant A,https://www.investing.com/equities/cognizant-technology-solutio
Ball,https://www.investing.com/equities/ball-corp
Honeywell,https://www.investing.com/equities/honeywell-intl
CF Industries,https://www.investing.com/equities/cf-industries
Electronic Arts,https://www.investing.com/equities/electronic-arts-inc
Xcel Energy,https://www.investing.com/equities/xcel-energy
Caterpillar,https://www.investing.com/equities/caterpillar
NortonLifeLock Inc,https://www.investing.com/equities/symantec-corp
McDonald’s,https://www.investing.com/equities/mcdonalds
Unum,https://www.investing.com/equities/unum-group
Cinedigm,https://www.investing.com/equities/cinedigm-digital
ConAgra Foods,https://www.investing.com/equities/conagra-foods
Edwards Lifesciences,https://www.investing.com/equities/edward-lifescience
Marriott Int,https://www.investing.com/equities/marriott-intl
Patterson-UTI Energy,https://www.investing.com/equities/patterson-uti-energy-inc
CoStar,https://www.investing.com/equities/costar-group
Franklin Resources,https://www.investing.com/equities/franklin-res
Tyson Foods,https://www.investing.com/equities/tyson-foods
UnitedHealth,https://www.investing.com/equities/united-health-group
3M,https://www.investing.com/equities/3m-co
Seagate,https://www.investing.com/equities/seagate-technology
Duke Energy,https://www.investing.com/equities/duke-energy
Bausch Health,https://www.investing.com/equities/valeant-pharma
Fastenal,https://www.investing.com/equities/fastenal-co
Mattel,https://www.investing.com/equities/mattel-inc
Builders FirstSource,https://www.investing.com/equities/builders-firstsou
Union Pacific,https://www.investing.com/equities/union-pacific
Costco,https://www.investing.com/equities/costco-whsl-corp-new
Analog Devices,https://www.investing.com/equities/analog-devices
EXACT Sciences,https://www.investing.com/equities/exact-sciences-co
Emerson,https://www.investing.com/equities/emerson-elec
Danaher,https://www.investing.com/equities/danaher-corp
Welltower,https://www.investing.com/equities/health-care-reit
News Corp A,https://www.investing.com/equities/news-corp.
FirstEnergy,https://www.investing.com/equities/first-energy
Viavi Solutions,https://www.investing.com/equities/jds-uniphase-corp
Prologis,https://www.investing.com/equities/prologis
Masco,https://www.investing.com/equities/masco-corp
American Electric Power,https://www.investing.com/equities/american-electric
Allstate,https://www.investing.com/equities/allstate-corporation
CNX Resources,https://www.investing.com/equities/consol-energy
Amphenol,https://www.investing.com/equities/amphenol-corp
Weyerhaeuser,https://www.investing.com/equities/weyerhaeuser
NXP,https://www.investing.com/equities/nxp-semiconductors
Bed Bath&Beyond,https://www.investing.com/equities/bed-bath---beyond-inc
Big Lots,https://www.investing.com/equities/big-lots-inc
PulteGroup,https://www.investing.com/equities/pulte-homes-inc
BGC Partners,https://www.investing.com/equities/bgc-partners
Capital One Financial,https://www.investing.com/equities/capital-one
Goodyear Tire & Rubber Co,https://www.investing.com/equities/goodyear-tire
Goldman Sachs,https://www.investing.com/equities/goldman-sachs-group
Cardinal Health,https://www.investing.com/equities/cardinal-health
Agnico Eagle Mines,https://www.investing.com/equities/agnico-eagle-mines
Omnicom,https://www.investing.com/equities/omnicom-gp-inc
Wheaton Precious Metals,https://www.investing.com/equities/silver-wheaton-corp
Sysco,https://www.investing.com/equities/sysco-corp
Consolidated Edison,https://www.investing.com/equities/cocnsol-edison
America Movil ADR,https://www.investing.com/equities/america-movil
Expedia,https://www.investing.com/equities/expedia
ICE,https://www.investing.com/equities/intercontintlex
Progressive,https://www.investing.com/equities/the-progressive
Vertex,https://www.investing.com/equities/vertex-pharm
