,stonk_name,stonk_link,stonk_ticker
268,Healthpeak Properties,https://www.investing.com/equities/hcp-inc,PEAK
269,Pitney Bowes,https://www.investing.com/equities/pitney-bowes-inc,PBI
270,Intuitive Surgical,https://www.investing.com/equities/intuitive-surgical-inc,ISRG
271,DXC Technology,https://www.investing.com/equities/comp-science,DXC
272,FedEx,https://www.investing.com/equities/fedex-corp,FDX
273,Autodesk,https://www.investing.com/equities/autodesk-inc,ADSK
274,Xerox,https://www.investing.com/equities/xerox-corp,XRX
275,Edison,https://www.investing.com/equities/edison-intl,EIX
276,ONEOK,https://www.investing.com/equities/oneok,OKE
277,3D Systems,https://www.investing.com/equities/3d-systems-corporation,DDD
278,Curis,https://www.investing.com/equities/curis,CRIS
279,Monster Beverage,https://www.investing.com/equities/monster-beverage,MNST
280,Cigna,https://www.investing.com/equities/cigna-corp,CI
281,Accenture,https://www.investing.com/equities/accenture-ltd,ACN
282,VF,https://www.investing.com/equities/vf-corp,VFC
283,Prudential Financial,https://www.investing.com/equities/prudential-fin,PRU
284,Cadence Design,https://www.investing.com/equities/cadence-design-system-inc,CDNS
285,Pan American Silver,https://www.investing.com/equities/pan-american-silver-corp,PAAS
286,BioCryst,https://www.investing.com/equities/biocryst-pharmaceuticals,BCRX
287,Color Star Technology Co,https://www.investing.com/equities/china-advanced,CSCW
288,Intuit,https://www.investing.com/equities/intuit,INTU
289,Lennar,https://www.investing.com/equities/lennar,LEN
290,PACCAR,https://www.investing.com/equities/paccar-inc,PCAR
291,Female Health,https://www.investing.com/equities/female-health-com,VERU
292,Campbell Soup,https://www.investing.com/equities/campbell-soup,CPB
293,Archer-Daniels-Midland,https://www.investing.com/equities/archer-daniels-mid,ADM
294,Dollar Tree,https://www.investing.com/equities/dollar-tree-inc,DLTR
295,8x8,https://www.investing.com/equities/8x8-inc,EGHT
296,Discover,https://www.investing.com/equities/discover-financl,DFS
297,Aeterna Zentaris,https://www.investing.com/equities/aeterna-zentaris-inc?cid=15348,AEZS
298,Ingersoll Rand,https://www.investing.com/equities/ingersoll-rand,IR
299,Cyren,https://www.investing.com/equities/commtouch-software,CYRN
300,Hormel Foods,https://www.investing.com/equities/hormel-foods-corp,HRL
301,Norfolk Southern,https://www.investing.com/equities/norfolk-southern,NSC
302,Apartment Invest,https://www.investing.com/equities/apt-inv-manage,AIV
303,Chubb,https://www.investing.com/equities/chubb-corp,CB
304,Cerner,https://www.investing.com/equities/cerner-corporatio,CERN
305,State Street,https://www.investing.com/equities/state-street,STT
306,Broadcom,https://www.investing.com/equities/avago-technologies,AVGO
307,DTE Energy,https://www.investing.com/equities/dte-energy,DTE
308,Digital Ally,https://www.investing.com/equities/digital-ally,DGLY
309,Marsh McLennan,https://www.investing.com/equities/marsh---mclennan,MMC
310,NRG,https://www.investing.com/equities/nrg-energy-inc,NRG
311,Alphabet A,https://www.investing.com/equities/google-inc,GOOGL
312,Yum! Brands,https://www.investing.com/equities/yum!-brands-inc,YUM
313,Bath Body Works,https://www.investing.com/equities/limited-brands,BBWI
314,H&R Block,https://www.investing.com/equities/h---r-block-inc,HRB
315,CBAK Energy,https://www.investing.com/equities/china-bak-battery,CBAT
316,UBS Group,https://www.investing.com/equities/ubs-group-n?cid=8132,UBS
317,Stanley Black Decker,https://www.investing.com/equities/stanley-works,SWK
318,NetApp,https://www.investing.com/equities/network-appliance-inc,NTAP
319,Site Centers,https://www.investing.com/equities/ddr,SITC
320,Murphy Oil,https://www.investing.com/equities/murphy-oil-corp,MUR
321,Chimera Investment,https://www.investing.com/equities/chimera-investment-corp,CIM
322,Yandex,https://www.investing.com/equities/yandex,YNDX
323,Ventas,https://www.investing.com/equities/ventas-inc,VTR
324,Hess,https://www.investing.com/equities/hess-corp,HES
325,Pioneer Natural,https://www.investing.com/equities/pioneer-natural-resources,PXD
326,Canadian Solar Inc,https://www.investing.com/equities/canadian-solar,CSIQ
327,Sherwin-Williams,https://www.investing.com/equities/sherwinwilliams,SHW
328,Lincoln National,https://www.investing.com/equities/lincoln-natl,LNC
329,Hartford,https://www.investing.com/equities/hartford-finl,HIG
330,IGT,https://www.investing.com/equities/intl-game-tech,IGT
331,Amicus,https://www.investing.com/equities/amicus-therapeutics,FOLD
332,Zimmer Biomet,https://www.investing.com/equities/zimmer-hldgs,ZBH
333,Ecolab,https://www.investing.com/equities/ecolab-inc,ECL
334,Cerus,https://www.investing.com/equities/cerus-corp,CERS
335,Allscripts,https://www.investing.com/equities/allscripts-misys-healthcre-solution,MDRX
336,Steel Dynamics,https://www.investing.com/equities/steel-dynamics,STLD
337,Ross Stores,https://www.investing.com/equities/ross-stores-inc,ROST
338,Sarepta,https://www.investing.com/equities/sarepta,SRPT
339,Ionis Pharma,https://www.investing.com/equities/isis-pharma,IONS
340,Kimberly-Clark,https://www.investing.com/equities/kimberly-clark,KMB
341,Kellogg,https://www.investing.com/equities/kellogg-co.,K
342,KB Home,https://www.investing.com/equities/kb-home,KBH
343,Abercrombie&Fitch,https://www.investing.com/equities/aberc-fitch-a,ANF
344,Public Service Enterprise,https://www.investing.com/equities/publ-svc-enter,PEG
345,American Tower,https://www.investing.com/equities/amer-tower-corp,AMT
346,PNC Financial,https://www.investing.com/equities/pnc-fin-serv,PNC
347,Thermo Fisher Scientific,https://www.investing.com/equities/thermo-fisher-sc,TMO
348,Athersys,https://www.investing.com/equities/athersys,ATHX
349,Ciena Corp,https://www.investing.com/equities/ciena,CIEN
350,Stryker,https://www.investing.com/equities/stryker,SYK
351,Sempra Energy,https://www.investing.com/equities/sempra-energy,SRE
352,CH Robinson,https://www.investing.com/equities/c-h-robinson-worldwide-inc,CHRW
353,Teradyne,https://www.investing.com/equities/teradyne-inc,TER
354,ADP,https://www.investing.com/equities/auto-data-process,ADP
355,Big 5,https://www.investing.com/equities/big-5-sporting-go,BGFV
356,Helmerich Payne,https://www.investing.com/equities/helmerich---payne,HP
357,Eversource Energy,https://www.investing.com/equities/northeast-utilities,ES
358,Corcept,https://www.investing.com/equities/corcept-therapeutics,CORT
359,CBRE A,https://www.investing.com/equities/cbre,CBRE
360,Lockheed Martin,https://www.investing.com/equities/lockheed-martin,LMT
361,Comerica,https://www.investing.com/equities/comerica-inc,CMA
362,Anthem,https://www.investing.com/equities/wellpoint-inc,ANTM
363,First Solar,https://www.investing.com/equities/first-solar-inc,FSLR
364,Molson Coors Brewing B,https://www.investing.com/equities/molson-coors,TAP
365,PPG Industries,https://www.investing.com/equities/ppg-industries,PPG
366,Grupo Televisa ADR,https://www.investing.com/equities/grupo-televisa-sa-adr,TV
367,JM Smucker,https://www.investing.com/equities/jm-smucker-co,SJM
368,Teradata,https://www.investing.com/equities/teradata,TDC
369,Nippon ADR,https://www.investing.com/equities/nippon-telegraph,NTTYY
370,S&P Global,https://www.investing.com/equities/mcgraw-hill,SPGI
371,Alphatecs,https://www.investing.com/equities/alphatec-holdings,ATEC
372,Fluor,https://www.investing.com/equities/fluor-corp,FLR
373,Darden Restaurants,https://www.investing.com/equities/dardem-rest,DRI
374,Seagen,"https://www.investing.com/equities/seattle-genetics,",SGEN
375,WEC Energy,https://www.investing.com/equities/wisconsin-energy-corp,WEC
376,Newegg Commerce,https://www.investing.com/equities/dehaier-medical-systems,NEGG
377,Estee Lauder,https://www.investing.com/equities/estee-lauder,EL
378,General Dynamics,https://www.investing.com/equities/general-dynam,GD
379,McKesson,https://www.investing.com/equities/mckesson-corp,MCK
380,Eastman Chemical,https://www.investing.com/equities/eastman-chem,EMN
381,Coca-Cola European,https://www.investing.com/equities/coca-cola-ent,CCEP
382,Wipro ADR,https://www.investing.com/equities/wipro,WIT
383,DexCom,https://www.investing.com/equities/dexcom,DXCM
384,Iron Mountain,https://www.investing.com/equities/iron-mountain-inc,IRM
385,Wolfspeed,https://www.investing.com/equities/cree-inc.,WOLF
386,Equity Residential,https://www.investing.com/equities/eq-resident,EQR
387,Alkermes Plc,https://www.investing.com/equities/alkermes-plc,ALKS
388,Quest Diagnostics,https://www.investing.com/equities/quest-diag,DGX
389,Aon,https://www.investing.com/equities/aon-corp,AON
390,Travelers,https://www.investing.com/equities/the-travelers-co,TRV
391,Deere&Company,https://www.investing.com/equities/deere---co,DE
392,Agilent Technologies,https://www.investing.com/equities/agilent-tech,A
393,Eaton,https://www.investing.com/equities/eaton,ETN
394,HDFC Bank ADR,https://www.investing.com/equities/hdfc-bank,HDB
395,Urban Outfitters,https://www.investing.com/equities/urban-outfitters,URBN
396,Lam Research,https://www.investing.com/equities/lam-research-corp,LRCX
397,Charter Communications,https://www.investing.com/equities/charter-communications,CHTR
398,T Rowe,https://www.investing.com/equities/t-rowe-price-gp,TROW
399,Take-Two,https://www.investing.com/equities/take-two-interactive,TTWO
400,Crocs,https://www.investing.com/equities/crocs,CROX
401,KLA-Tencor,https://www.investing.com/equities/kla-tencor-corp,KLAC
402,Biogen,https://www.investing.com/equities/biogen-idec-inc,BIIB
403,CME Group,https://www.investing.com/equities/cme-group-inc.,CME
404,Biomarin Pharma,https://www.investing.com/equities/biomarin-pharmaceuticals,BMRN
405,Citrix Systems,https://www.investing.com/equities/citrix-sys-inc,CTXS
406,Becton Dickinson,https://www.investing.com/equities/becton-dickinsn,BDX
407,Cytokinetics Inc,https://www.investing.com/equities/cytokinetics,CYTK
408,Zions,https://www.investing.com/equities/zions-bancorp,ZION
409,Vornado,https://www.investing.com/equities/vornado-realty,VNO
410,IFF,https://www.investing.com/equities/intl-flav---frag,IFF
411,Cummins,https://www.investing.com/equities/cummins-inc,CMI
412,SSR Mining,https://www.investing.com/equities/silver-standard-resources,SSRM
413,RR Donnelley & Sons,"https://www.investing.com/equities/donnelley,-r.r.---sons",RRD
414,Liberty Global,https://www.investing.com/equities/liberty-global-inc,LBTYA
415,Paychex,https://www.investing.com/equities/paychex-inc,PAYX
416,Ameren,https://www.investing.com/equities/ameren-corp,AEE
417,Clorox,https://www.investing.com/equities/clorox-co,CLX
418,Associated Banc-Corp,https://www.investing.com/equities/associated-banc-corp,ASB
419,CMS Energy,https://www.investing.com/equities/cms-energy-corp,CMS
420,Waste Management,https://www.investing.com/equities/waste-managemnt,WM
421,AmerisourceBergen,https://www.investing.com/equities/amerisourcebergn,ABC
422,Magna Intl,https://www.investing.com/equities/magna-international,MGA
